sale_date,product_id,category,quantity_sold,unit_price,stock_available,payment_method,return_flag
2026-01-01,100,groceries,1,2500,22,PSE,1
2026-01-02,107,snacks,6,3300,40,CARD,0
2026-01-03,114,cleaning,5,7400,58,PSE,0
2026-01-04,121,household,2,24500,76,CARD,0
2026-01-05,103,personal_care,5,9700,69,CASH,0
2026-01-06,110,groceries,2,2500,87,NEQUI,0
2026-01-07,117,snacks,7,3300,15,CASH,0
2026-01-08,124,cleaning,4,7400,33,NEQUI,0
2026-01-09,106,household,1,24500,26,CASH,0
2026-01-10,113,snacks,8,2500,44,NEQUI,0
2026-01-11,120,cleaning,5,5200,62,CASH,0
2026-01-12,102,household,8,19900,55,PSE,0
2026-01-13,109,personal_care,5,6300,73,CARD,0
2026-01-14,116,groceries,2,8200,91,PSE,0
2026-01-15,123,snacks,7,2500,19,CARD,0
2026-01-16,105,cleaning,4,5200,12,PSE,0
2026-01-17,112,household,3,19900,30,CARD,0
2026-01-18,119,personal_care,8,6300,48,PSE,1
2026-01-19,101,cleaning,3,15600,41,NEQUI,0
2026-01-20,108,household,8,13500,59,CASH,0
2026-01-21,115,personal_care,5,4100,77,NEQUI,0
2026-01-22,122,groceries,2,6900,95,CASH,0
2026-01-23,104,snacks,7,1800,88,NEQUI,0
2026-01-24,111,cleaning,6,15600,16,CASH,0
2026-01-25,118,household,3,13500,34,NEQUI,0
2026-01-26,100,personal_care,6,4100,27,CARD,0
2026-01-27,107,groceries,3,6900,45,PSE,0
2026-01-28,114,household,8,9400,63,CARD,0
2026-01-29,121,personal_care,5,18400,81,PSE,0
2026-01-30,103,groceries,2,4800,74,CARD,0
2026-01-31,110,snacks,1,1200,92,PSE,0
2026-02-01,117,cleaning,6,11200,20,CARD,0
2026-02-02,124,household,1,9400,38,CASH,0
2026-02-03,106,personal_care,6,18400,31,NEQUI,0
2026-02-04,113,groceries,3,4800,49,CASH,1
2026-02-05,120,snacks,8,1200,67,NEQUI,0
2026-02-06,102,personal_care,5,12800,60,CASH,0
2026-02-07,109,groceries,4,3200,78,NEQUI,0
2026-02-08,116,snacks,1,4600,96,CASH,0
2026-02-09,123,cleaning,4,8900,24,PSE,0
2026-02-10,105,household,1,6800,17,CARD,0
2026-02-11,112,personal_care,6,12800,35,PSE,0
